Neuron,
Ebola, 86, 3.8E6, 2.2E5, 40, 25K
Honeybee, 225.3, start kl = 9E+6. end kl = 2E+6,  50 batch, 50K iterations
Laub Loomis, 
Dalla Man, 7800.8, 170867, 97139, 20 batch, 50K iterations


