0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.45, 0.41, 0.51, -213.3609772593849
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.43, 0.41, 0.51, -212.23779298007435
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
0.47, 0.41, 0.49, -211.22535210724527
